brand	type	filename	url	source_note
maytronics	raw/logos	maytronics-official-logo.svg	https://www.maytronics.com/on/demandware.static/-/Sites-MTCORPORATE-Library/default/dw942b7ee4/images/footer/footer-logo.svg	Raw candidate; official Maytronics logo source; download first, review later
maytronics	raw/products	dolphin-liberty-600-official.png	https://www.maytronics.com/dw/image/v2/BGGP_PRD/on/demandware.static/-/Library-Sites-MaytronicsSharedLibrary/default/dwe065703d/New_WOW_Pages/EP_Dolphin_LIBERTY600_1_big.png	Raw candidate; official Dolphin LIBERTY 600 product image
maytronics	raw/people	rafi-benami-official-maytronics.jpg	https://www.maytronics.com/dw/image/v2/BGGP_PRD/on/demandware.static/-/Sites-MTCORPORATE-Library/default/dw40a83335/Corporate/Rafi.jpg	Raw candidate; official Maytronics executive photo; identity/timing review later
maytronics	raw/events	maytronics-corporate-page-candidate.html	https://www.maytronics.com/corporate/	Raw candidate; official Maytronics corporate page for event/company evidence capture
maytronics	raw/evidence	maytronics-1983-dolphin-timeline.png	https://www.maytronics.com/dw/image/v2/BGGP_PRD/on/demandware.static/-/Sites-MTCORPORATE-Library/default/dw6f4743ab/Corporate%20/Timeline/Frame%2026%20%284%29.png	Raw candidate; official Maytronics timeline evidence
aiper	raw/logos	aiper-prnewswire-logo-candidate.html	https://www.prnewswire.com/news-releases/dive-into-summer-with-aiper-spend-more-time-enjoying-the-pool-not-cleaning-it-301581412.html	Raw candidate; PR Newswire Aiper release with logo image candidate; page capture first
aiper	raw/products	aiper-scuba-800-shopify-product.png	https://aadd.aiper.com/cdn/shop/files/Main_1800x.png?v=1729651916	Raw candidate; Aiper dealer/product Shopify-hosted Scuba 800 product image
aiper	raw/people	richard-wang-authority-magazine.html	https://medium.com/authority-magazine/richard-wang-of-aiper-on-the-future-of-robotics-over-the-next-few-years-250bd2c5c977	Raw candidate; Authority Magazine interview page for Richard Wang portrait/source review
aiper	raw/events	aiper-ces-2026-official-page.html	https://aiper.com/us/aiper-ces-2026	Raw candidate; official Aiper CES 2026 page for booth/event photos
aiper	raw/evidence	aiper-prnewswire-company-page.html	https://www.prnewswire.com/news/aiper/	Raw candidate; PR Newswire Aiper company/news evidence page
beatbot	raw/logos	beatbot-prnewswire-logo-candidate.html	https://www.prnewswire.com/news-releases/beatbot-celebrates-annual-beatbot-day-with-global-impact-exclusive-deals-and-high-profile-collaborations-302453958.html	Raw candidate; PR Newswire Beatbot release with logo candidate
beatbot	raw/products	beatbot-aquasense-product-candidate.png	https://beatbot.com/cdn/shop/files/E1-3_c5a16581-a65e-4912-a0e5-b53a7d2ea7ec.png?v=1760500548	Raw candidate; official Beatbot AquaSense product image
beatbot	raw/people	beatbot-founder-36kr-candidate.html	https://eu.36kr.com/en/p/3477953694079616	Raw candidate; trusted media source for Beatbot founder/company financing context
beatbot	raw/events	beatbot-booth-36kr-candidate.html	https://eu.36kr.com/en/p/3477953694079616	Raw candidate; trusted media page with Beatbot booth/event photo candidate
beatbot	raw/evidence	beatbot-day-prnewswire.html	https://www.prnewswire.com/news-releases/beatbot-celebrates-annual-beatbot-day-with-global-impact-exclusive-deals-and-high-profile-collaborations-302453958.html	Raw candidate; PR Newswire Beatbot Day evidence page
